column,name,dtype,semantic,missing_pct,numeric_summary,categorical_summary
usg%,usg%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 100.0, 'median': 100.0, 'std': 0.0, 'var': 0.0, 'min': 100.0, 'p10': 100.0, 'p25': 100.0, 'p50': 100.0, 'p75': 100.0, 'p90': 100.0, 'max': 100.0, 'skew': 0.0, 'kurtosis': 0.0, 'iqr': 0.0, 'mad': 0.0, 'outlier_count_iqr': 0}",
ortg,ortg,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 110.61735876659914, 'median': 110.6, 'std': 11.6455479742876, 'var': 135.61878762143402, 'min': 68.2, 'p10': 95.7, 'p25': 102.7, 'p50': 110.6, 'p75': 118.4, 'p90': 125.6, 'max': 159.3, 'skew': 0.026480113523386143, 'kurtosis': -0.040487134405646774, 'iqr': 15.700000000000003, 'mad': 7.8999999999999915, 'outlier_count_iqr': 118}",
drtg,drtg,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 110.61735876659914, 'median': 110.6, 'std': 11.6455479742876, 'var': 135.61878762143402, 'min': 68.2, 'p10': 95.7, 'p25': 102.7, 'p50': 110.6, 'p75': 118.4, 'p90': 125.6, 'max': 159.3, 'skew': 0.026480113523386143, 'kurtosis': -0.040487134405646774, 'iqr': 15.700000000000003, 'mad': 7.8999999999999915, 'outlier_count_iqr': 118}",
mp_max,mp_max,float64,"{'inferred_type': 'unknown', 'confidence': 0.2}",1.0,"{'count': 0, 'missing': 17772, 'mean': None, 'median': None, 'std': None, 'var': None, 'min': None, 'p10': None, 'p25': None, 'p50': None, 'p75': None, 'p90': None, 'max': None, 'skew': None, 'kurtosis': None, 'iqr': None, 'mad': None, 'outlier_count_iqr': None}",
mp_max.1,mp_max.1,float64,"{'inferred_type': 'unknown', 'confidence': 0.2}",1.0,"{'count': 0, 'missing': 17772, 'mean': None, 'median': None, 'std': None, 'var': None, 'min': None, 'p10': None, 'p25': None, 'p50': None, 'p75': None, 'p90': None, 'max': None, 'skew': None, 'kurtosis': None, 'iqr': None, 'mad': None, 'outlier_count_iqr': None}",
fg_max,fg_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 9.767949583614675, 'median': 9.0, 'std': 2.4804794599845987, 'var': 6.1527783514054875, 'min': 3.0, 'p10': 7.0, 'p25': 8.0, 'p50': 9.0, 'p75': 11.0, 'p90': 13.0, 'max': 24.0, 'skew': 0.7310951022650759, 'kurtosis': 0.907429995535145, 'iqr': 3.0, 'mad': 2.0, 'outlier_count_iqr': 446}",
fga_max,fga_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 19.21680171055593, 'median': 19.0, 'std': 4.244653997548081, 'var': 18.017087558900908, 'min': 8.0, 'p10': 14.0, 'p25': 16.0, 'p50': 19.0, 'p75': 22.0, 'p90': 25.0, 'max': 50.0, 'skew': 0.7470840743388654, 'kurtosis': 1.0561908408772362, 'iqr': 6.0, 'mad': 3.0, 'outlier_count_iqr': 171}",
fg%_max,fg%_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.8203238239927976, 'median': 0.8, 'std': 0.1590691886403042, 'var': 0.025303006774684684, 'min': 0.35, 'p10': 0.609, 'p25': 0.667, 'p50': 0.8, 'p75': 1.0, 'p90': 1.0, 'max': 1.0, 'skew': -0.11514805144043883, 'kurtosis': -1.4008949904079329, 'iqr': 0.33299999999999996, 'mad': 0.17500000000000004, 'outlier_count_iqr': 0}",
3p_max,3p_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 3.804917848300698, 'median': 4.0, 'std': 1.50826601282072, 'var': 2.274866365430112, 'min': 0.0, 'p10': 2.0, 'p25': 3.0, 'p50': 4.0, 'p75': 5.0, 'p90': 6.0, 'max': 14.0, 'skew': 0.8909778638899868, 'kurtosis': 1.417110274077448, 'iqr': 2.0, 'mad': 1.0, 'outlier_count_iqr': 132}",
3pa_max,3pa_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 8.25708980418636, 'median': 8.0, 'std': 2.5790343962002966, 'var': 6.651418416784229, 'min': 1.0, 'p10': 5.0, 'p25': 6.0, 'p50': 8.0, 'p75': 10.0, 'p90': 12.0, 'max': 24.0, 'skew': 0.8169094774754431, 'kurtosis': 1.2059159179948464, 'iqr': 4.0, 'mad': 2.0, 'outlier_count_iqr': 115}",
3p%_max,3p%_max,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.7782495498537023, 'median': 0.75, 'std': 0.2167590258387443, 'var': 0.046984475282561416, 'min': 0.0, 'p10': 0.5, 'p25': 0.6, 'p50': 0.75, 'p75': 1.0, 'p90': 1.0, 'max': 1.0, 'skew': -0.24916334766117815, 'kurtosis': -1.4270644177401044, 'iqr': 0.4, 'mad': 0.25, 'outlier_count_iqr': 0}",
